title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
丰田 凯美瑞 2010款 200E 精英版,广汽丰田,2011-03,13.85,自动,2.0L,7.95,19.80,广州,2010款,中型,0,147马力,汽油,4825,1820,1485,,前置前驱
日产 轩逸 2012款 经典 1.6XE 手动舒适版,东风日产,2015-08,4.87,手动,1.6L,4.96,5.1,广州,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
斯柯达 昕锐 2013款 1.6L 手动智选型,上汽斯柯达,2014-06,6.06,手动,1.6L,4.20,10.40,广州,2013款,紧凑型,0,110马力,汽油,4501,1706,1469,,前置前驱
大众 帕萨特 2013款 1.4TSI DSG蓝驱版,上汽大众,2012-12,6.18,自动,1.4T,8.90,9.19,广州,2013款,中型,0,131马力,汽油,4870,1834,1472,,前置前驱
福特 翼搏 2013款 1.5L 手动舒适型,长安福特,2014-10,2.88,手动,1.5L,4.42,4.64,广州,2013款,小型,1,110马力,汽油,4280,1785,1638,,前置前驱
大众 桑塔纳 2015款 1.6L 自动风尚版,上汽大众,2015-06,4.45,自动,1.6L,5.55,5.89,广州,2015款,紧凑型,0,110马力,汽油,4473,1706,1469,,前置前驱
别克君越 2012款 2.4L SIDI豪雅版,上汽通用别克,2013-07,9.99,自动,2.4L,7.98,8.37,广州,2012款,中型,0,186马力,汽油,5000,1858,1497,,前置前驱
本田 飞度 2014款 1.5L LX CVT舒适型,广汽本田,2015-04,4.05,自动,1.5L,6.49,8.90,广州,2014款,小型,0,131马力,汽油,4065,1695,1525,,前置前驱
丰田 雷凌 2014款 1.6G CVT精英版,广汽丰田,2015-06,3.52,自动,1.6L,7.91,8.06,广州,2014款,紧凑型,0,122马力,汽油,4630,1775,1480,,前置前驱
荣威360 2015款 1.5L 自动豪华版,上汽集团,2016-10,2.55,自动,1.5L,5.65,9.80,广州,2015款,紧凑型,0,109马力,汽油,4579,1804,1490,,前置前驱
丰田 YARiS L 致炫 2015款 1.5E 自动魅动版,广汽丰田,2015-11,2.07,自动,1.5L,5.60,9.30,广州,2015款,小型,0,107马力,汽油,4115,1700,1495,,前置前驱
宝马5系 2014款 525Li 豪华设计套装,华晨宝马,2015-04,3.04,自动,2.0T,30.13,54.20,广州,2014款,中大型,0,218马力,汽油,5055,1860,1491,,前置后驱
奥迪Q5 2013款 40 TFSI 技术型,一汽-大众奥迪,2014-08,11.53,自动,2.0T,20.94,46.40,广州,2013款,中型,1,211马力,汽油,4629,1898,1655,,前置四驱
雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,上汽通用雪佛兰,2015-11,3.22,自动,2.0L,9.00,9.37,广州,2014款,中型,0,154马力,汽油,4869,1854,1472,,前置前驱
标致308 2014款 乐享版 经典 1.6L 自动优尚型,东风标致,2015-11,5.88,自动,1.6L,5.00,12.60,广州,2014款,紧凑型,0,117马力,汽油,4558,1805,1505,,前置前驱
奔腾B50 2013款 1.6L 自动豪华型,一汽奔腾,2014-07,2.6,自动,1.6L,4.00,11.40,广州,2013款,紧凑型,0,103马力,汽油,4615,1785,1435,,前置前驱
现代 瑞纳 2014款 1.4L 自动领先型GLX,北京现代,2014-08,4.07,自动,1.4L,4.90,10.10,广州,2014款,小型,0,107马力,汽油,4375,1700,1460,,前置前驱
