title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
福特 福克斯 2012款 三厢 1.6L 自动风尚型,长安福特,2013-11,3.27,自动,1.6L,6.99,15.60,北京,2012款,紧凑型,0,125马力,汽油,4534,1823,1483,,前置前驱
长城C50 2012款 1.5T 手动豪华型,长城汽车,2012-08,2.66,手动,1.5T,3.00,8.50,北京,2012款,紧凑型,0,133马力,汽油,4650,1775,1455,,前置前驱
斯柯达 明锐 2009款 1.6L 自动逸仕版,上汽斯柯达,2009-09,8.78,自动,1.6L,4.00,15.90,北京,2009款,紧凑型,0,105马力,汽油,4572,1769,1462,,前置前驱
雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座,上汽通用雪佛兰,2013-09,5.15,自动,2.4L,9.01,28.60,北京,2012款,中型,1,167马力,汽油,4673,1849,1756,,前置四驱
现代 全新胜达 2013款 2.0T 自动四驱顶级型,北京现代,2013-07,11.73,自动,2.0T,12.03,33.60,北京,2013款,中型,1,245马力,汽油,4725,1880,1686,,前置四驱
雪铁龙 世嘉 2012款 三厢 1.6L 自动品尚型,东风雪铁龙,2013-05,5.29,自动,1.6L,5.00,12.70,北京,2012款,紧凑型,0,106马力,汽油,4588,1773,1486,,前置前驱
马自达6 2012款 2.0L 自动时尚型,一汽马自达,2012-12,6.51,自动,2.0L,6.49,19.50,北京,2012款,中型,0,147马力,汽油,4670,1780,1435,,前置前驱
大众 速腾 2014款 1.6L 自动舒适型,一汽-大众,2014-07,7.52,自动,1.6L,8.00,16.40,北京,2014款,紧凑型,0,105马力,汽油,4644,1778,1482,,前置前驱
MINI 2014款 1.5T COOPER Fun,MINI,2016-04,2.86,自动,1.5T,15.00,27.70,北京,2014款,小型,0,136马力,汽油,3832,1727,1450,,前置前驱
雪铁龙 世嘉 2014款 VTS版 1.6L 手动品尚型,东风雪铁龙,2015-08,1.5,手动,1.6L,5.57,12.40,北京,2014款,紧凑型,0,117马力,汽油,4588,1773,1486,,前置前驱
别克GL8 2013款 2.4L 经典版,上汽通用别克,2014-02,10.84,自动,2.4L,9.90,10.29,北京,2013款,MPV,0,167马力,汽油,5213,1847,1750,,前置前驱
日产 骐达 2011款 1.6L CVT智能型,东风日产,2011-12,4.57,自动,1.6L,5.95,13.60,北京,2011款,紧凑型,0,126马力,汽油,4295,1760,1520,,前置前驱
现代 新胜达 2012款 2.4 至尊版 七座四驱(进口),现代(进口),2012-05,8.74,自动,2.4L,7.91,31.10,北京,2012款,中型,1,174马力,汽油,4660,1890,1760,,前置四驱
雪铁龙C3-XR 2015款 1.6L 自动先锋型,东风雪铁龙,2016-05,3.76,自动,1.6L,7.50,13.90,北京,2015款,小型,1,117马力,汽油,4262,1748,1557,,前置前驱
