num,class,chn,math,eng,phy,chem,politics,bio,history,geo,pe
0611,10,76.5,88,92.5,50.4,41.75,44,44,40.5,45,56
0126,2,85,97,93,49,36,46,40.5,39.5,40.5,52
0649,10,87,97,86.5,59.5,31.25,40,40,32.5,44,60
0119,2,88.5,93,80,53.9,39.25,44.5,43.5,37,45.5,52
0003,1,84.5,98,85,58.1,35,44,39.5,34,43,56
0345,6,76,118,66,60.2,33.25,47,43,36.5,44.5,52
0475,8,83.5,95,87,52.5,41.25,40.5,41,35,44,56
0275,5,83.5,94,98.5,56,29.5,39.5,43.5,35.5,43.5,52
0221,4,78.5,92,90.5,56,38.5,46,42.5,33.5,42,56
0198,4,80.5,102,87.5,53.2,33.75,40,38.5,39.5,44.5,56
0264,5,84,109,80,60.9,29,38,42.5,34,42,56
0650,1,72,104,86,65.1,34.5,41,45,36,43.5,48
0516,9,78,92,91.5,60.2,36.5,38,46,41.5,43,48
0651,4,87.5,96,84,53.2,36.5,42.5,44.5,34,44,52
0371,6,85.5,91,81.5,58.1,37.5,44.5,44.5,35,44.5,52
0070,2,77.5,100,92,53.9,25.5,40.5,40.5,39,45,60
0039,1,83,95,94.5,52.5,37.25,46,35.5,31,43,56
0340,6,79.5,101,72.5,60.2,39,38.5,44,41,45.5,52
0055,1,80.5,95,95.5,51.1,35.75,42,39,37.5,44.5,52
0470,8,70.5,103,82,63,44.5,40.5,40,36,45,48
0210,4,77,96,84.5,60.2,31.25,43,46.5,38,47.5,48
0576,9,85,95,96,47.6,33.5,42,42,36.5,45.5,48
0095,2,82.5,98,87.5,53.2,29.5,43,42.5,42,43.5,48
0203,4,78.5,89,93,54.6,27.5,46.5,43,34.5,46.5,56
0238,4,81.5,95,80,61.6,34.75,42,43.5,32.5,42,56
0170,3,83.5,95,86.5,58.8,23.75,41.5,48,37,46.5,48
0104,2,87.5,88,86,49.7,32.75,44.5,44,34.5,45,56
0219,4,75,109,86,58.1,32.5,35.5,45,31.5,46,48
0358,6,93.5,91,88.5,40.6,40,41.5,42.5,34,43,52
0574,9,85.5,90,88.5,56.7,28.25,44,45,32.5,44,52
0546,9,83,100,90,46.2,29,43.5,42,32,44.5,56
0607,10,77.5,96,89.5,51.1,27.5,43.5,44,36,45,56
