Direction,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
南,无电梯,中楼层(共6层),金利公寓,149,2室2厅,350.0,浦东,精装,87.88,1995.0
南,无电梯,低楼层(共6层),罗山六村,150,3室1厅,460.0,浦东,简装,94.34,1995.0
暂无数据,有电梯,中楼层(共21层),名都古北,151,4室2厅,1660.0,闵行,精装,229,1995.0
南,有电梯,中楼层(共17层),浦东星河湾,152,4室3厅,2700.0,浦东,精装,301.31,1995.0
南,有电梯,中楼层(共12层),静安新城七区,153,3室2厅,978.0,闵行,精装,137,1995.0
西南,有电梯,中楼层(共35层),江临天下,154,3室2厅,1350.0,浦东,其他,148.55,1995.0
南北,有电梯,高楼层(共17层),中环家园,155,3室2厅,818.0,普陀,精装,131.82,1995.0
南北,无电梯,低楼层(共6层),金帝城市岸泊(公寓),156,3室2厅,395.0,嘉定,精装,114.37,1995.0
东南,,高楼层(共30层),新时空国际商务广场,157,1室1厅,195.0,长宁,精装,40.61,1995.0
南北,无电梯,高楼层(共6层),西凌新邨,158,2室1厅,400.0,黄浦,简装,56.56,1995.0
南,无电梯,高楼层(共7层),三门路358弄,159,2室1厅,285.0,杨浦,毛坯,60.68,1995.0
南,有电梯,低楼层(共11层),鼎鑫名流世家,160,2室2厅,390.0,浦东,精装,92.72,1995.0
东,无电梯,高楼层(共6层),威宁小区,161,2室1厅,338.0,长宁,精装,55.16,1995.0
南,无电梯,高楼层(共6层),育秀三区,162,2室1厅,147.8,奉贤,其他,67.98,1995.0
南,有电梯,高楼层(共32层),徐汇苑,163,2室2厅,1030.0,徐汇,简装,129.52,1995.0
南,无电梯,高楼层(共6层),共富四村,164,2室1厅,289.0,宝山,简装,78.71,1995.0
南,无电梯,高楼层(共6层),仲信苑,165,2室1厅,550.0,长宁,其他,64.25,1995.0
南,有电梯,低楼层(共11层),水清年华花园,166,1室1厅,320.0,闵行,精装,58.62,1995.0
南,有电梯,高楼层(共18层),华丽家族花园,167,3室2厅,1450.0,浦东,精装,155.25,1995.0
南,有电梯,中楼层(共7层),涵合园(公寓),168,3室2厅,1345.0,浦东,精装,174.8,1995.0
南,有电梯,中楼层(共8层),秋水云庐,169,3室2厅,1200.0,普陀,简装,145.89,1995.0
南,有电梯,低楼层(共26层),耀江花园,170,3室2厅,1580.0,黄浦,精装,136.25,1995.0
南北,有电梯,中楼层(共17层),万达城市公寓,171,2室2厅,470.0,嘉定,精装,87.07,1995.0
