title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
三菱 劲炫ASX 2013款 1.6L 手动两驱标准版,广汽三菱,2013-01,4.5,手动,1.6L,5.40,11.90,深圳,2013款,紧凑型,1,124马力,汽油,4295,1770,1615,,前置前驱
奥迪Q5 2015款 40 TFSI 进取型,一汽-大众奥迪,2014-11,3.88,自动,2.0T,22.26,42.10,深圳,2015款,中型,1,224马力,汽油,4629,1898,1655,,前置四驱
奥迪A4L 2015款 35 TFSI 自动标准型,一汽-大众奥迪,2015-03,3.36,自动,2.0T,18.73,34.00,深圳,2015款,中型,0,180马力,汽油,4761,1826,1439,,前置前驱
起亚 智跑 2015款 2.0L 自动两驱版DLX,东风悦达起亚,2015-11,6.93,自动,2.0L,8.33,8.67,深圳,2015款,紧凑型,1,165马力,汽油,4450,1855,1660,,前置前驱
福特 福克斯 2013款 两厢经典 1.8L 手动时尚型,长安福特,2014-10,6.19,手动,1.8L,4.50,12.20,深圳,2013款,紧凑型,0,124马力,汽油,4342,1840,1500,,前置前驱
日产 轩逸 2012款 经典 1.6XE 自动舒适版,东风日产,2015-12,10.3,自动,1.6L,5.94,11.90,深圳,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
现代 悦动 2011款 1.6L 自动舒适型,北京现代,2015-04,8.88,自动,1.6L,5.11,5.35,深圳,2011款,紧凑型,0,123马力,汽油,4543,1777,1490,,前置前驱
本田 飞度 2018款 1.5L CVT舒适版,广汽本田,2018-11,0.36,自动,1.5L,7.39,8.90,深圳,2018款,小型,0,131马力,汽油,4096,1695,1525,,前置前驱
起亚 智跑 2012款 2.0L 自动两驱版GLS,东风悦达起亚,2011-11,9.45,自动,2.0L,6.20,20.90,深圳,2012款,紧凑型,1,165马力,汽油,4440,1855,1660,,前置前驱
雪铁龙C4L 2014款 1.6THP 智驱版 自动劲智型,东风雪铁龙,2013-05,11.78,自动,1.6T,5.82,18.40,深圳,2014款,紧凑型,0,163马力,汽油,4620,1780,1498,,前置前驱
奔驰A级(进口) 2013款 A 180 时尚型(进口),奔驰(进口),2013-08,8.73,自动,1.6T,10.50,27.40,深圳,2013款,紧凑型,0,122马力,汽油,4292,1780,1433,,前置前驱
丰田 威驰 2014款 1.5L 手动智臻版,一汽丰田,2016-01,7.25,手动,1.5L,5.30,8.70,深圳,2014款,小型,0,107马力,汽油,4410,1700,1490,,前置前驱
沃尔沃XC60 2017款 T5 AWD 智进升级版,沃尔沃亚太,2017-03,3.79,自动,2.0T,22.96,23.94,深圳,2017款,中型,1,245马力,汽油,4644,1891,1713,,前置四驱
本田 雅阁 2011款 2.0L EX Navi,广汽本田,2011-07,14.18,自动,2.0L,8.62,8.99,深圳,2011款,中型,0,156马力,汽油,4960,1845,1480,,前置前驱
传祺GS4 2015款 200T G-DCT豪华版,广汽乘用车,2015-09,3.75,自动,1.3T,7.49,14.80,深圳,2015款,紧凑型,1,137马力,汽油,4510,1852,1708,,前置前驱
Jeep 自由光 2016款 2.4L 专业版智能包,广汽菲克Jeep,2016-04,4.27,自动,2.4L,16.00,28.20,深圳,2016款,中型,1,175马力,汽油,4649,1859,1695,,前置四驱
吉利 博瑞 2015款 1.8T 舒适型,吉利汽车,2016-01,5.52,自动,1.8T,8.00,15.20,深圳,2015款,中型,0,163马力,汽油,4956,1861,1513,,前置前驱
