title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
奔驰GLK级 2010款 GLK 300 4MATIC 时尚型(进口),奔驰(进口),2011-05,10.11,自动,3.0L,13.64,57.30,上海,2010款,中型,1,231马力,汽油,4528,1840,1691,,前置四驱
别克 昂科威 2016款 20T 四驱豪华型,上汽通用别克,2016-08,6.32,自动,1.5T,14.69,28.20,上海,2016款,中型,1,169马力,汽油,4667,1839,1694,,前置四驱
奥迪A6L 2011款 2.0 TFSI 自动标准型,一汽-大众奥迪,2011-09,8.95,自动,2.0T,12.80,42.30,上海,2011款,中大型,0,170马力,汽油,5035,1855,1485,,前置前驱
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,上汽通用雪佛兰,2013-10,6.32,自动,2.0L,7.00,7.35,上海,2013款,中型,0,154马力,汽油,4869,1854,1472,,前置前驱
标致308 2014款 乐享版 经典 1.6L 手动优尚型,东风标致,2014-04,5.42,手动,1.6L,3.80,3.9,上海,2014款,紧凑型,0,117马力,汽油,4558,1805,1505,,前置前驱
标致3008 2015款 2.0L 自动经典版,东风标致,2016-01,6.76,自动,2.0L,7.69,18.60,上海,2015款,紧凑型,1,147马力,汽油,4428,1840,1652,,前置前驱
Jeep 指南者 2013款 2.4L 四驱豪华版(进口),Jeep(进口),2013-08,4.92,自动,2.4L,9.02,9.38,上海,2013款,紧凑型,1,170马力,汽油,4448,1812,1663,,前置四驱
福特 翼搏 2013款 1.5L 自动尊贵型,长安福特,2013-12,6.8,自动,1.5L,5.36,5.41,上海,2013款,小型,1,110马力,汽油,4280,1785,1658,,前置前驱
大众 途观 2013款 1.8TSI 自动两驱豪华型,上汽大众,2013-09,5.08,自动,1.8T,13.64,28.20,上海,2013款,紧凑型,1,160马力,汽油,4506,1809,1685,,前置前驱
丰田 RAV4 2011款 2.0L 自动豪华版,一汽丰田,2012-09,9.89,自动,2.0L,8.77,24.90,上海,2011款,紧凑型,1,150马力,汽油,4630,1855,1720,,前置前驱
奥迪A4L 2013款 35 TFSI 自动标准型,一汽-大众奥迪,2013-12,8.27,自动,2.0T,15.27,33.60,上海,2013款,中型,0,180马力,汽油,4761,1826,1439,,前置前驱
别克 君威 2015款 2.0L 领先时尚型,上汽通用别克,2016-02,11.29,自动,2.0L,8.92,9.35,上海,2015款,中型,0,154马力,汽油,4843,1856,1484,,前置前驱
斯柯达 明锐 2010款 1.6L 自动逸致版,上汽斯柯达,2011-06,9.22,自动,1.6L,4.43,14.70,上海,2010款,紧凑型,0,105马力,汽油,4569,1769,1462,,前置前驱
奔驰C级 2010款 C 180K 经典型,北京奔驰,2010-10,12.07,自动,1.6T,8.96,33.40,上海,2010款,中型,0,156马力,汽油,4581,1770,1448,,前置后驱
本田 凌派 2013款 1.8L 自动豪华版,广汽本田,2014-08,2.48,自动,1.8L,8.21,14.60,上海,2013款,紧凑型,0,139马力,汽油,4650,1750,1505,,前置前驱
大众 高尔夫·嘉旅 2016款 230TSI 自动豪华型,一汽-大众,2017-04,3.75,自动,1.4T,12.18,19.50,上海,2016款,紧凑型,0,131马力,汽油,4348,1807,1574,,前置前驱
雪佛兰 迈锐宝 2013款 2.4L 自动豪华版,上汽通用雪佛兰,2014-03,1.5,自动,2.4L,9.30,21.70,上海,2013款,中型,0,186马力,汽油,4869,1854,1472,,前置前驱
奥迪Q5 2012款 2.0TFSI 舒适型,一汽-大众奥迪,2012-05,12.5,自动,2.0T,16.89,52.30,上海,2012款,中型,1,211马力,汽油,4629,1880,1653,,前置四驱
大众 帕萨特 2011款 1.8TSI DSG御尊版,上汽大众,2012-04,9.17,自动,1.8T,9.88,26.00,上海,2011款,中型,0,160马力,汽油,4870,1834,1472,,前置前驱
大众 途观 2012款 1.8TSI 自动四驱风尚版,上汽大众,2012-11,3.69,自动,1.8T,10.60,10.95,上海,2012款,紧凑型,1,160马力,汽油,4525,1809,1685,,前置四驱
起亚 佳乐 2013款 2.0L 7座自动标准版 国V(进口),起亚(进口),2015-03,2.18,自动,2.0L,7.82,17.90,上海,2013款,MPV,0,152马力,汽油,4525,1805,1605,,前置前驱
福特 翼虎 2013款 1.6L GTDi 两驱风尚型,长安福特,2013-05,3.61,自动,1.6T,10.40,23.60,上海,2013款,紧凑型,1,177马力,汽油,4524,1838,1685,,前置前驱
大众 途观 2012款 2.0TSI 自动四驱菁英版,上汽大众,2012-08,12.55,自动,2.0T,10.08,31.10,上海,2012款,紧凑型,1,200马力,汽油,4525,1809,1685,,前置四驱
福特 翼虎 2013款 2.0L GTDi 四驱尊贵型,长安福特,2014-02,9.26,自动,2.0T,12.16,29.90,上海,2013款,紧凑型,1,242马力,汽油,4524,1838,1695,,前置四驱
别克GL8 2014款 3.0L GT豪华商务豪雅版,上汽通用别克,2015-09,1.37,自动,3.0L,20.50,40.20,上海,2014款,MPV,0,258马力,汽油,5266,1878,1800,,前置前驱
马自达CX-5 2013款 2.0L 自动四驱尊贵型,长安马自达,2014-11,9.8,自动,2.0L,10.65,11.11,上海,2013款,紧凑型,1,155马力,汽油,4555,1840,1710,,前置四驱
日产 逍客 2012款 2.0XV 雷 CVT 2WD,东风日产,2012-12,11.94,自动,2.0L,6.60,19.60,上海,2012款,紧凑型,1,144马力,汽油,4315,1783,1606,,前置前驱
大众POLO 2018款 1.5L 自动安驾型,上汽大众,2018-05,0.35,自动,1.5L,7.23,10.00,上海,2018款,小型,0,110马力,汽油,3970,1682,1462,,前置前驱
大众 途观 2013款 1.8TSI 自动两驱舒适版,上汽大众,2013-07,9.38,自动,1.8T,10.74,11.17,上海,2013款,紧凑型,1,160马力,汽油,4506,1809,1685,,前置前驱
宝马5系 2014款 520Li 典雅型,华晨宝马,2014-01,10.98,自动,2.0T,23.07,23.76,上海,2014款,中大型,0,184马力,汽油,5055,1860,1491,,前置后驱
斯柯达Yeti 2014款 1.8TSI DSG野驱版,上汽斯柯达,2014-04,1.41,自动,1.8T,8.93,26.20,上海,2014款,小型,1,160马力,汽油,4459,1793,1682,,前置四驱
福特 锐界 2012款 2.0T 精锐天窗版(进口),福特(进口),2015-09,3.34,自动,2.0T,17.53,34.40,上海,2012款,中型,1,243马力,汽油,4699,1930,1705,,前置前驱
雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,上汽通用雪佛兰,2015-12,3.83,自动,2.0L,10.08,20.30,上海,2014款,中型,0,154马力,汽油,4869,1854,1472,,前置前驱
奥迪Q3 2018款 30周年年型 35 TFSI 时尚型,一汽-大众奥迪,2018-08,0.96,自动,2.0T,19.99,31.00,上海,2018款,紧凑型,1,180马力,汽油,4398,1841,1591,,前置前驱
凯迪拉克SRX 2012款 3.0L 领先型(进口),凯迪拉克(进口),2012-11,7.15,自动,3.0L,16.28,57.50,上海,2012款,中型,1,271马力,汽油,4851,1910,1667,,前置四驱
大众 帕萨特 2014款 1.8TSI DSG御尊版,上汽大众,2013-06,14.18,自动,1.8T,10.41,10.69,上海,2014款,中型,0,160马力,汽油,4870,1834,1472,,前置前驱
奥迪Q5 2016款 40 TFSI 进取型,一汽-大众奥迪,2016-05,4.79,自动,2.0T,23.63,41.60,上海,2016款,中型,1,224马力,汽油,4629,1898,1655,,前置四驱
现代 途胜 2015款 1.6T 双离合四驱旗舰型,北京现代,2015-09,2.12,自动,1.6T,11.45,26.00,上海,2015款,紧凑型,1,177马力,汽油,4475,1850,1660,,前置四驱
纳智捷 优6 SUV 2018款 1.8T 经典舒适版,东风裕隆,2018-05,0.85,自动,1.8T,9.93,16.30,上海,2018款,紧凑型,1,180马力,汽油,4625,1825,1620,,前置前驱
奥迪A6L 2016款 30 FSI 舒适型,一汽-大众奥迪,2016-11,2.25,自动,2.5L,28.95,30.27,上海,2016款,中大型,0,204马力,汽油,5036,1874,1466,,前置前驱
宝马3系 2013款 改款 328Li 豪华设计套装,华晨宝马,2013-07,5.07,自动,2.0T,18.75,49.20,上海,2013款,中型,0,245马力,汽油,4734,1811,1455,,前置后驱
凯迪拉克XT5 2016款 28T 四驱豪华型,上汽通用凯迪拉克,2017-04,3.11,自动,2.0T,27.76,45.60,上海,2016款,中型,1,269马力,汽油,4812,1903,1680,,前置四驱
现代ix35 2015款 2.0L 自动两驱智能型 国V,北京现代,2015-02,4.76,自动,2.0L,9.17,19.20,上海,2015款,紧凑型,1,160马力,汽油,4420,1820,1690,,前置前驱
别克 君越 2012款 2.4L SIDI舒适版,上汽通用别克,2012-12,9.16,自动,2.4L,8.53,8.86,上海,2012款,中型,0,186马力,汽油,5000,1858,1497,,前置前驱
三菱 翼神 2011款 时尚版 1.8L CVT舒适型,东南汽车,2011-11,7.03,自动,1.8L,4.68,4.79,上海,2011款,紧凑型,0,136马力,汽油,4570,1760,1490,,前置前驱
别克 昂科拉 2015款 1.4T 自动两驱都市领先型,上汽通用别克,2016-03,4.35,自动,1.4T,8.00,18.30,上海,2015款,小型,1,140马力,汽油,4278,1774,1646,,前置前驱
标致3008 2013款 1.6THP 自动至尚版,东风标致,2013-07,7.49,自动,1.6T,7.50,23.30,上海,2013款,紧凑型,1,163马力,汽油,4428,1840,1652,,前置前驱
长安逸动 2014款 1.6L 手动豪华型,长安汽车,2014-05,3.67,手动,1.6L,3.40,8.70,上海,2014款,紧凑型,0,125马力,汽油,4620,1820,1490,,前置前驱
雪佛兰 科鲁兹 2012款 1.6L SE AT,上汽通用雪佛兰,,9.09,自动,1.6L,4.50,14.60,上海,2012款,紧凑型,0,121马力,汽油,4598,1797,1477,,前置前驱
别克 昂科拉 2013款 1.4T 自动两驱领先型,上汽通用别克,2013-12,10.04,自动,1.4T,6.11,19.20,上海,2013款,小型,1,140马力,汽油,4278,1774,1646,,前置前驱
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,上汽通用雪佛兰,2013-10,4.33,自动,2.0L,8.29,8.51,上海,2013款,中型,0,154马力,汽油,4869,1854,1472,,前置前驱
日产 奇骏 2014款 2.0L CVT舒适版 2WD,东风日产,2015-12,3.49,自动,2.0L,12.80,13.28,上海,2014款,紧凑型,1,150马力,汽油,4643,1820,1725,,前置前驱
雪佛兰 科鲁兹 2013款 1.8L SE AT,上汽通用雪佛兰,2013-07,3.35,自动,1.8L,5.20,14.90,上海,2013款,紧凑型,0,147马力,汽油,4598,1797,1477,,前置前驱
大众 速腾 2015款 1.6L 自动舒适型,一汽-大众,2015-07,5.79,自动,1.6L,8.49,16.40,上海,2015款,紧凑型,0,110马力,汽油,4655,1780,1453,,前置前驱
福特 嘉年华 2013款 两厢 1.5L 手动风尚型,长安福特,2015-04,5.93,手动,1.5L,4.10,8.70,上海,2013款,小型,0,110马力,汽油,3970,1722,1470,,前置前驱
大众 途观 2015款 1.8TSI 自动两驱风尚版,上汽大众,2015-05,6.86,自动,1.8T,12.21,12.48,上海,2015款,紧凑型,1,160马力,汽油,4506,1809,1685,,前置前驱
北汽幻速S3 2016款 1.5L 手动豪华型 国IV,北汽银翔,2015-11,5.92,手动,1.5L,2.60,2.9,上海,2016款,紧凑型,1,113马力,汽油,4380,1730,1760,,前置后驱
雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座,上汽通用雪佛兰,2013-08,8.69,自动,2.4L,8.42,28.60,上海,2012款,中型,1,167马力,汽油,4673,1849,1756,,前置四驱
大众 朗逸 2011款 2.0L 自动品悠版,上汽大众,2011-06,4.17,自动,2.0L,3.80,14.00,上海,2011款,紧凑型,0,120马力,汽油,4608,1743,1465,,前置前驱
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,上汽通用雪佛兰,2013-04,8.26,自动,2.0L,7.49,7.73,上海,2013款,中型,0,154马力,汽油,4869,1854,1472,,前置前驱
标致3008 2013款 1.6THP 自动至尚版,东风标致,2013-04,6.33,自动,1.6T,7.32,23.30,上海,2013款,紧凑型,1,163马力,汽油,4428,1840,1652,,前置前驱
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,上汽大众,2013-04,6.17,自动,1.6L,6.30,15.00,上海,2013款,紧凑型,0,110马力,汽油,4605,1765,1460,,前置前驱
东风风神A60 2012款 1.6L 自动尊贵型,东风乘用车,2013-08,3.94,自动,1.6L,3.66,11.50,上海,2012款,紧凑型,0,117马力,汽油,4680,1720,1515,,前置前驱
雪佛兰 迈锐宝 2016款 2.0L 自动豪华版,上汽通用雪佛兰,2016-03,7.07,自动,2.0L,9.36,19.50,上海,2016款,中型,0,154马力,汽油,4855,1854,1474,,前置前驱
江淮 瑞风M3 2015款 创客版 1.6L 豪华智能型,江淮汽车,2016-02,4.41,手动,1.6L,4.50,8.10,上海,2015款,MPV,0,120马力,汽油,4645,1740,1900,,前置后驱
雪佛兰 科帕奇 2014款 2.4L 两驱城市版 7座,上汽通用雪佛兰,2014-10,3.62,自动,2.4L,8.55,8.94,上海,2014款,中型,1,167马力,汽油,4673,1849,1753,,前置前驱
MINI Countryman 2014款 1.6L COOPER Fun,MINI,2014-09,3.7,自动,1.6L,15.00,30.00,上海,2014款,紧凑型,1,120马力,汽油,4107,1789,1573,,前置前驱
欧宝 安德拉 2012款 2.4L 两驱豪华版,欧宝,2011-09,8.26,自动,2.4L,7.00,31.00,上海,2012款,中型,1,167马力,汽油,4596,1850,1761,,前置前驱
宝马5系 2012款 523Li 豪华型,华晨宝马,2012-05,10.65,自动,2.5L,19.41,19.83,上海,2012款,中大型,0,204马力,汽油,5039,1860,1471,,前置后驱
宝马1系 2017款 118i 设计套装型,华晨宝马,2018-01,0.48,自动,1.5T,16.57,28.20,上海,2017款,紧凑型,0,136马力,汽油,4456,1803,1446,,前置前驱
